Testcase,Algorithm,Nodes,Edges,MaxFlow,RuntimeMs
bottleneck-1600-1.in,Dinic,1600,2552010,3414208403,17
bottleneck-1600-1.in,Dinic-Scaling,1600,2552010,3414208403,18
bottleneck-1600-1.in,ISAP,1600,2552010,3414208403,15
bottleneck-1600-1.in,MPM,1600,2552010,3414208403,51
bottleneck-1600-1.in,Push-Relabel,1600,2552010,3414208403,17
bottleneck-1600-1.in,Push-Relabel-Highest,1600,2552010,3414208403,11
bottleneck-1600-1.in,Push-Relabel-Gap,1600,2552010,3414208403,13
bottleneck-1600-1.in,Push-Relabel-HG,1600,2552010,3414208403,8
bottleneck-1600-1.in,HLPP,1600,2552010,3414208403,10
bottleneck-1800-0.in,Edmonds-Karp,1800,3231010,3141659914,28
bottleneck-1800-0.in,Scaling,1800,3231010,3141659914,3890
bottleneck-1800-0.in,Dinic,1800,3231010,3141659914,17
bottleneck-1800-0.in,Dinic-Scaling,1800,3231010,3141659914,18
bottleneck-1800-0.in,ISAP,1800,3231010,3141659914,21
bottleneck-1800-0.in,MPM,1800,3231010,3141659914,41
bottleneck-1800-0.in,Push-Relabel,1800,3231010,3141659914,22
bottleneck-1800-0.in,Push-Relabel-Highest,1800,3231010,3141659914,15
bottleneck-1800-0.in,Push-Relabel-Gap,1800,3231010,3141659914,17
bottleneck-1800-0.in,Push-Relabel-HG,1800,3231010,3141659914,11
bottleneck-1800-0.in,HLPP,1800,3231010,3141659914,12
bottleneck-1800-1.in,Edmonds-Karp,1800,3231010,3414208603,28
bottleneck-1800-1.in,Scaling,1800,3231010,3414208603,3948
bottleneck-1800-1.in,Dinic,1800,3231010,3414208603,21
bottleneck-1800-1.in,Dinic-Scaling,1800,3231010,3414208603,23
bottleneck-1800-1.in,ISAP,1800,3231010,3414208603,19
bottleneck-1800-1.in,MPM,1800,3231010,3414208603,66
bottleneck-1800-1.in,Push-Relabel,1800,3231010,3414208603,22
bottleneck-1800-1.in,Push-Relabel-Highest,1800,3231010,3414208603,15
bottleneck-1800-1.in,Push-Relabel-Gap,1800,3231010,3414208603,17
bottleneck-1800-1.in,Push-Relabel-HG,1800,3231010,3414208603,10
bottleneck-1800-1.in,HLPP,1800,3231010,3414208603,12
bottleneck-200-0.in,Edmonds-Karp,200,39010,3141658314,0
bottleneck-200-0.in,Scaling,200,39010,3141658314,4
bottleneck-200-0.in,Dinic,200,39010,3141658314,0
bottleneck-200-0.in,Dinic-Scaling,200,39010,3141658314,0
bottleneck-200-0.in,ISAP,200,39010,3141658314,0
bottleneck-200-0.in,MPM,200,39010,3141658314,0
bottleneck-200-0.in,Push-Relabel,200,39010,3141658314,0
bottleneck-200-0.in,Push-Relabel-Highest,200,39010,3141658314,0
bottleneck-200-0.in,Push-Relabel-Gap,200,39010,3141658314,0
bottleneck-200-0.in,Push-Relabel-HG,200,39010,3141658314,0
bottleneck-200-0.in,HLPP,200,39010,3141658314,0
bottleneck-200-1.in,Edmonds-Karp,200,39010,3414207003,0
bottleneck-200-1.in,Scaling,200,39010,3414207003,4
bottleneck-200-1.in,Dinic,200,39010,3414207003,0
bottleneck-200-1.in,Dinic-Scaling,200,39010,3414207003,0
bottleneck-200-1.in,ISAP,200,39010,3414207003,0
bottleneck-200-1.in,MPM,200,39010,3414207003,0
bottleneck-200-1.in,Push-Relabel,200,39010,3414207003,0
bottleneck-200-1.in,Push-Relabel-Highest,200,39010,3414207003,0
bottleneck-200-1.in,Push-Relabel-Gap,200,39010,3414207003,0
bottleneck-200-1.in,Push-Relabel-HG,200,39010,3414207003,0
bottleneck-200-1.in,HLPP,200,39010,3414207003,0
bottleneck-2000-0.in,Edmonds-Karp,2000,3990010,3141660114,34
bottleneck-2000-0.in,Scaling,2000,3990010,TLE,TLE
bottleneck-2000-0.in,Dinic,2000,3990010,3141660114,19
bottleneck-2000-0.in,Dinic-Scaling,2000,3990010,3141660114,20
bottleneck-2000-0.in,ISAP,2000,3990010,3141660114,24
bottleneck-2000-0.in,MPM,2000,3990010,3141660114,51
bottleneck-2000-0.in,Push-Relabel,2000,3990010,3141660114,28
bottleneck-2000-0.in,Push-Relabel-Highest,2000,3990010,3141660114,19
bottleneck-2000-0.in,Push-Relabel-Gap,2000,3990010,3141660114,21
bottleneck-2000-0.in,Push-Relabel-HG,2000,3990010,3141660114,13
bottleneck-2000-0.in,HLPP,2000,3990010,3141660114,14
bottleneck-2000-1.in,Edmonds-Karp,2000,3990010,3414208803,35
bottleneck-2000-1.in,Scaling,2000,3990010,TLE,TLE
bottleneck-2000-1.in,Dinic,2000,3990010,3414208803,23
bottleneck-2000-1.in,Dinic-Scaling,2000,3990010,3414208803,25
bottleneck-2000-1.in,ISAP,2000,3990010,3414208803,26
bottleneck-2000-1.in,MPM,2000,3990010,3414208803,81
bottleneck-2000-1.in,Push-Relabel,2000,3990010,3414208803,28
bottleneck-2000-1.in,Push-Relabel-Highest,2000,3990010,3414208803,18
bottleneck-2000-1.in,Push-Relabel-Gap,2000,3990010,3414208803,21
bottleneck-2000-1.in,Push-Relabel-HG,2000,3990010,3414208803,13
bottleneck-2000-1.in,HLPP,2000,3990010,3414208803,14
bottleneck-400-0.in,Edmonds-Karp,400,158010,3141658514,1
bottleneck-400-0.in,Scaling,400,158010,3141658514,34
bottleneck-400-0.in,Dinic,400,158010,3141658514,0
bottleneck-400-0.in,Dinic-Scaling,400,158010,3141658514,0
bottleneck-400-0.in,ISAP,400,158010,3141658514,0
bottleneck-400-0.in,MPM,400,158010,3141658514,1
bottleneck-400-0.in,Push-Relabel,400,158010,3141658514,0
bottleneck-400-0.in,Push-Relabel-Highest,400,158010,3141658514,0
bottleneck-400-0.in,Push-Relabel-Gap,400,158010,3141658514,0
bottleneck-400-0.in,Push-Relabel-HG,400,158010,3141658514,0
bottleneck-400-0.in,HLPP,400,158010,3141658514,0
bottleneck-400-1.in,Edmonds-Karp,400,158010,3414207203,1
bottleneck-400-1.in,Scaling,400,158010,3414207203,34
bottleneck-400-1.in,Dinic,400,158010,3414207203,0
bottleneck-400-1.in,Dinic-Scaling,400,158010,3414207203,0
bottleneck-400-1.in,ISAP,400,158010,3414207203,0
bottleneck-400-1.in,MPM,400,158010,3414207203,2
bottleneck-400-1.in,Push-Relabel,400,158010,3414207203,0
bottleneck-400-1.in,Push-Relabel-Highest,400,158010,3414207203,0
bottleneck-400-1.in,Push-Relabel-Gap,400,158010,3414207203,0
bottleneck-400-1.in,Push-Relabel-HG,400,158010,3414207203,0
bottleneck-400-1.in,HLPP,400,158010,3414207203,0
bottleneck-600-0.in,Edmonds-Karp,600,357010,3141658714,3
bottleneck-600-0.in,Scaling,600,357010,3141658714,122
bottleneck-600-0.in,Dinic,600,357010,3141658714,2
bottleneck-600-0.in,Dinic-Scaling,600,357010,3141658714,1
bottleneck-600-0.in,ISAP,600,357010,3141658714,1
bottleneck-600-0.in,MPM,600,357010,3141658714,3
bottleneck-600-0.in,Push-Relabel,600,357010,3141658714,2
bottleneck-600-0.in,Push-Relabel-Highest,600,357010,3141658714,1
bottleneck-600-0.in,Push-Relabel-Gap,600,357010,3141658714,1
bottleneck-600-0.in,Push-Relabel-HG,600,357010,3141658714,1
bottleneck-600-0.in,HLPP,600,357010,3141658714,1
bottleneck-600-1.in,Edmonds-Karp,600,357010,3414207403,2
bottleneck-600-1.in,Scaling,600,357010,3414207403,117
bottleneck-600-1.in,Dinic,600,357010,3414207403,1
bottleneck-600-1.in,Dinic-Scaling,600,357010,3414207403,2
bottleneck-600-1.in,ISAP,600,357010,3414207403,1
bottleneck-600-1.in,MPM,600,357010,3414207403,5
bottleneck-600-1.in,Push-Relabel,600,357010,3414207403,2
bottleneck-600-1.in,Push-Relabel-Highest,600,357010,3414207403,1
bottleneck-600-1.in,Push-Relabel-Gap,600,357010,3414207403,1
bottleneck-600-1.in,Push-Relabel-HG,600,357010,3414207403,1
bottleneck-600-1.in,HLPP,600,357010,3414207403,1
bottleneck-800-0.in,Edmonds-Karp,800,636010,3141658914,4
bottleneck-800-0.in,Scaling,800,636010,3141658914,280
bottleneck-800-0.in,Dinic,800,636010,3141658914,3
bottleneck-800-0.in,Dinic-Scaling,800,636010,3141658914,3
bottleneck-800-0.in,ISAP,800,636010,3141658914,3
bottleneck-800-0.in,MPM,800,636010,3141658914,6
bottleneck-800-0.in,Push-Relabel,800,636010,3141658914,4
bottleneck-800-0.in,Push-Relabel-Highest,800,636010,3141658914,2
bottleneck-800-0.in,Push-Relabel-Gap,800,636010,3141658914,3
bottleneck-800-0.in,Push-Relabel-HG,800,636010,3141658914,2
bottleneck-800-0.in,HLPP,800,636010,3141658914,2
bottleneck-800-1.in,Edmonds-Karp,800,636010,3414207603,5
bottleneck-800-1.in,Scaling,800,636010,3414207603,282
bottleneck-800-1.in,Dinic,800,636010,3414207603,4
bottleneck-800-1.in,Dinic-Scaling,800,636010,3414207603,3
bottleneck-800-1.in,ISAP,800,636010,3414207603,3
bottleneck-800-1.in,MPM,800,636010,3414207603,10
bottleneck-800-1.in,Push-Relabel,800,636010,3414207603,3
bottleneck-800-1.in,Push-Relabel-Highest,800,636010,3414207603,2
bottleneck-800-1.in,Push-Relabel-Gap,800,636010,3414207603,3
bottleneck-800-1.in,Push-Relabel-HG,800,636010,3414207603,2
bottleneck-800-1.in,HLPP,800,636010,3414207603,2
coingrid-0.in,Edmonds-Karp,6,4,0,0
coingrid-0.in,Scaling,6,4,0,0
coingrid-0.in,Dinic,6,4,0,0
coingrid-0.in,Dinic-Scaling,6,4,0,0
coingrid-0.in,ISAP,6,4,0,0
coingrid-0.in,MPM,6,4,0,0
coingrid-0.in,Push-Relabel,6,4,0,0
coingrid-0.in,Push-Relabel-Highest,6,4,0,0
coingrid-0.in,Push-Relabel-Gap,6,4,0,0
coingrid-0.in,Push-Relabel-HG,6,4,0,0
coingrid-0.in,HLPP,6,4,0,0
coingrid-1.in,Edmonds-Karp,10,11,2,0
coingrid-1.in,Scaling,10,11,2,0
coingrid-1.in,Dinic,10,11,2,0
coingrid-1.in,Dinic-Scaling,10,11,2,0
coingrid-1.in,ISAP,10,11,2,0
coingrid-1.in,MPM,10,11,2,0
coingrid-1.in,Push-Relabel,10,11,2,0
coingrid-1.in,Push-Relabel-Highest,10,11,2,0
coingrid-1.in,Push-Relabel-Gap,10,11,2,0
coingrid-1.in,Push-Relabel-HG,10,11,2,0
coingrid-1.in,HLPP,10,11,2,0
coingrid-2.in,Edmonds-Karp,6,5,1,0
coingrid-2.in,Scaling,6,5,1,0
coingrid-2.in,Dinic,6,5,1,0
coingrid-2.in,Dinic-Scaling,6,5,1,0
coingrid-2.in,ISAP,6,5,1,0
coingrid-2.in,MPM,6,5,1,0
coingrid-2.in,Push-Relabel,6,5,1,0
coingrid-2.in,Push-Relabel-Highest,6,5,1,0
coingrid-2.in,Push-Relabel-Gap,6,5,1,0
coingrid-2.in,Push-Relabel-HG,6,5,1,0
coingrid-2.in,HLPP,6,5,1,0
coingrid-3.in,Edmonds-Karp,12,14,2,0
coingrid-3.in,Scaling,12,14,2,0
coingrid-3.in,Dinic,12,14,2,0
coingrid-3.in,Dinic-Scaling,12,14,2,0
coingrid-3.in,ISAP,12,14,2,0
coingrid-3.in,MPM,12,14,2,0
coingrid-3.in,Push-Relabel,12,14,2,0
coingrid-3.in,Push-Relabel-Highest,12,14,2,0
coingrid-3.in,Push-Relabel-Gap,12,14,2,0
coingrid-3.in,Push-Relabel-HG,12,14,2,0
coingrid-3.in,HLPP,12,14,2,0
coingrid-4.in,Edmonds-Karp,204,202,0,0
coingrid-4.in,Scaling,204,202,0,0
coingrid-4.in,Dinic,204,202,0,0
coingrid-4.in,Dinic-Scaling,204,202,0,0
coingrid-4.in,ISAP,204,202,0,0
coingrid-4.in,MPM,204,202,0,0
coingrid-4.in,Push-Relabel,204,202,0,0
coingrid-4.in,Push-Relabel-Highest,204,202,0,0
coingrid-4.in,Push-Relabel-Gap,204,202,0,0
coingrid-4.in,Push-Relabel-HG,204,202,0,0
coingrid-4.in,HLPP,204,202,0,0
coingrid-5.in,Edmonds-Karp,204,310,54,0
coingrid-5.in,Scaling,204,310,54,0
coingrid-5.in,Dinic,204,310,54,0
coingrid-5.in,Dinic-Scaling,204,310,54,0
coingrid-5.in,ISAP,204,310,54,0
coingrid-5.in,MPM,204,310,54,0
coingrid-5.in,Push-Relabel,204,310,54,0
coingrid-5.in,Push-Relabel-Highest,204,310,54,0
coingrid-5.in,Push-Relabel-Gap,204,310,54,0
coingrid-5.in,Push-Relabel-HG,204,310,54,0
coingrid-5.in,HLPP,204,310,54,0
